filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_125_9.csv,125,1547.7,1168.53,0.082583,3.11758,1283.17,3.6705
input/fake_instances/fake_328_1.csv,328,2309.16,1693.93,0.441,24.6321,1818.95,23.7784
input/fake_instances/fake_405_1.csv,405,3478.16,2288.55,0.760959,49.5775,2499.54,39.9718
input/fake_instances/fake_430_8.csv,430,2881.03,1945.47,0.745292,55.4729,2139.35,45.9976
input/fake_instances/fake_440_1.csv,440,4175.87,2948.45,0.834291,53.2271,3236.4,47.25
input/fake_instances/fake_475_8.csv,475,4508.19,3121.57,0.869708,65.833,3437.89,60.0305
input/fake_instances/fake_193_6.csv,193,1904.5,1284.24,0.169125,6.86529,1413.14,8.04742
input/fake_instances/fake_466_2.csv,466,4364.84,2888.07,0.890542,51.1307,3185.77,51.7655
input/fake_instances/fake_58_5.csv,58,753.517,592.722,0.0215,0.958375,635.64,0.915916
input/fake_instances/fake_423_2.csv,423,3235.12,2240.04,0.72225,44.281,2415.12,41.4845
input/fake_instances/fake_270_1.csv,270,2260.97,1729.01,0.320542,16.8801,1887.54,17.6109
input/fake_instances/fake_245_8.csv,245,2214.82,1586.15,0.264125,11.5119,1772.55,14.7645
input/fake_instances/fake_354_5.csv,354,2608.75,1790.51,0.51975,31.0509,1970.67,28.2051
input/fake_instances/fake_235_1.csv,235,2627.22,1771.01,0.264583,11.5963,1894,14.4676
input/fake_instances/fake_129_4.csv,129,1430.49,1079.02,0.084,4.60558,1129.81,4.24212
input/fake_instances/fake_200_8.csv,200,1974.54,1326.34,0.197542,8.09713,1421.82,9.73829
input/fake_instances/fake_311_5.csv,311,2775.77,1893.06,0.419666,22.3253,2073.01,23.4027
input/fake_instances/fake_213_2.csv,213,2087.27,1507.88,0.204792,9.99987,1634.79,11.22
input/fake_instances/fake_337_6.csv,337,2753.11,1891.82,0.486667,25.0966,2093.53,24.49
input/fake_instances/fake_256_2.csv,256,2505.77,1704.87,0.293209,14.9019,1854.66,16.303
input/fake_instances/fake_81_4.csv,81,1369.55,903.103,0.037791,1.66158,965.925,1.59575
input/fake_instances/fake_372_6.csv,372,3616.59,2703.69,0.644167,33.1015,2952.36,32.0932
input/fake_instances/fake_54_8.csv,54,971.685,727.77,0.020542,0.595458,796.877,0.630125
input/fake_instances/fake_392_3.csv,392,3245.29,2309.72,0.668834,43.2572,2479.63,43.9559
input/fake_instances/fake_61_1.csv,61,885.754,677.914,0.023625,0.817958,714.911,0.967
input/fake_instances/fake_11_8.csv,11,297.652,202.963,0.002292,0.040333,213.744,0.039
input/fake_instances/fake_24_1.csv,24,505.088,423.537,0.006625,0.136333,475.268,0.1385
input/fake_instances/fake_290_4.csv,290,2422.46,1593.73,0.3665,19.343,1735.45,21.0389
input/fake_instances/fake_381_9.csv,381,4479.29,3049.37,0.634208,34.4917,3370.97,32.3514
input/fake_instances/fake_479_5.csv,479,3806.38,2640.19,0.8715,53.6378,2898.14,53.6527
input/fake_instances/fake_47_2.csv,47,842.202,565.845,0.01625,0.598875,575.353,0.612375
input/fake_instances/fake_349_0.csv,349,2891.45,1896.31,0.508375,26.2308,2089.38,31.2565
input/fake_instances/fake_144_8.csv,144,1624.82,1189.45,0.101542,4.03175,1263.73,5.10817
input/fake_instances/fake_171_1.csv,171,1627.4,1059.33,0.141208,6.4555,1137.51,5.87483
input/fake_instances/fake_484_5.csv,484,3443.23,2267.17,0.889083,51.4231,2439.49,58.1813
input/fake_instances/fake_101_8.csv,101,1162.14,848.48,0.053583,2.43179,909.919,6.45983
input/fake_instances/fake_228_4.csv,228,2048.53,1344.41,0.866917,16.3157,1416.33,21.1749
input/fake_instances/fake_134_1.csv,134,1458.21,1083.01,0.223083,6.26571,1160.85,5.05925
input/fake_instances/fake_339_9.csv,339,2952.88,1918.08,0.65,29.6133,2126.13,29.115
input/fake_instances/fake_9_4.csv,9,370.132,298.805,0.002375,0.04075,339.491,0.037458
input/fake_instances/fake_112_2.csv,112,1157.68,906.188,0.065458,2.618,966.055,3.545
input/fake_instances/fake_157_2.csv,157,1820.98,1352.73,0.125834,5.93604,1483.86,5.50208
input/fake_instances/fake_442_3.csv,442,3861.82,2551.59,0.812125,55.8584,2792.29,52.2213
input/fake_instances/fake_39_4.csv,39,727.328,565.799,0.012833,0.323208,608.479,0.42825
input/fake_instances/fake_407_3.csv,407,3245.39,2256.76,0.70675,50.4198,2443.16,40.9558
input/fake_instances/fake_414_9.csv,414,3371.46,2258.27,0.702959,35.5007,2483.55,42.2037
input/fake_instances/fake_421_0.csv,421,2606.34,1820.93,0.744083,49.0587,1968.47,44.68
input/fake_instances/fake_451_9.csv,451,3388.92,2191.35,0.7725,54.9087,2371.14,56.0819
input/fake_instances/fake_464_0.csv,464,3303.34,2152.09,0.799042,49.5925,2306.35,55.2933
input/fake_instances/fake_191_4.csv,191,2439.56,1606.12,0.184375,8.38108,1748.01,7.02
input/fake_instances/fake_304_9.csv,304,2505.35,1764.33,0.405125,18.772,1926.86,28.9985
input/fake_instances/fake_109_1.csv,109,1533.18,1119.75,0.065708,2.63621,1205.5,2.61892
input/fake_instances/fake_215_4.csv,215,2043.72,1534.15,0.227084,11.4277,1672.33,9.42692
input/fake_instances/fake_331_0.csv,331,3070.81,2047.41,0.470958,26.1119,2237.8,24.0203
input/fake_instances/fake_341_9.csv,341,2136.3,1490.78,0.463667,25.3255,1577.41,25.9317
input/fake_instances/fake_250_4.csv,250,2149.76,1455.27,0.288667,14.4274,1611.44,14.1767
input/fake_instances/fake_87_2.csv,87,1399.72,1095.16,0.045583,2.25433,1183.58,2.22796
input/fake_instances/fake_179_8.csv,179,1994.93,1315.73,0.150875,7.56937,1413.25,6.52908
input/fake_instances/fake_374_0.csv,374,2854.37,1930.47,0.602834,33.1095,2103.74,35.9529
input/fake_instances/fake_276_7.csv,276,2897.28,1950.06,0.3785,16.2512,2126.33,17.3666
input/fake_instances/fake_94_8.csv,94,1227.55,815.255,0.048208,2.20996,889.118,1.80683
input/fake_instances/fake_352_3.csv,352,3223.21,2070.71,0.554416,32.3432,2255.45,30.4265
input/fake_instances/fake_233_7.csv,233,2067.77,1485.26,0.24575,13.2967,1625.12,12.2483
input/fake_instances/fake_317_3.csv,317,2581.24,1768.6,0.455584,21.2195,1938.96,23.4108
input/fake_instances/fake_296_2.csv,296,2647.48,1782.77,0.387791,21.4883,2004.61,21.4283
input/fake_instances/fake_41_4.csv,41,983.214,767.076,0.014625,0.359084,799.283,0.4445
input/fake_instances/fake_459_0.csv,459,3194.84,2011.71,0.794042,44.031,2224.1,48.1977
input/fake_instances/fake_394_5.csv,394,3095.32,2064.24,0.637209,40.8795,2286.09,40.1358
input/fake_instances/fake_67_7.csv,67,1262.43,909.668,0.029833,1.13058,939.663,0.955875
input/fake_instances/fake_285_8.csv,285,2849.7,1904.52,0.388792,17.8483,2123.47,20.4603
input/fake_instances/fake_429_9.csv,429,3192.85,2169.28,0.740541,48.7758,2406.81,43.4336
input/fake_instances/fake_22_7.csv,22,436.177,363.315,0.004958,0.127708,389.238,0.124125
input/fake_instances/fake_114_4.csv,114,1135.23,887.088,0.066625,2.77671,990.56,2.99783
input/fake_instances/fake_208_1.csv,208,2494.34,1664.32,0.216459,9.65721,1819.94,9.45825
input/fake_instances/fake_491_9.csv,491,3643.1,2476.69,0.913583,56.5623,2696.87,60.6677
input/fake_instances/fake_369_5.csv,369,3494.89,2371.19,0.650334,34.4929,2594.63,36.1426
input/fake_instances/fake_278_8.csv,278,2789.46,1728.15,0.356875,17.0765,1902.19,20.8949
input/fake_instances/fake_151_4.csv,151,1807.49,1335.21,0.118333,5.35596,1454.17,5.7295
input/fake_instances/fake_177_7.csv,177,1854.19,1359,0.156625,6.23592,1471.4,8.63821
input/fake_instances/fake_482_3.csv,482,4206.97,2984.91,0.911917,62.8493,3225.12,72.7202
input/fake_instances/fake_132_7.csv,132,1697.8,1220,0.090875,3.59671,1298.4,3.55967
input/fake_instances/fake_19_1.csv,19,514.944,406.901,0.00775,0.111584,439.204,0.118417
input/fake_instances/fake_427_6.csv,427,3071.75,2044.79,0.734,46.3163,2242.36,48.7617
input/fake_instances/fake_462_6.csv,462,3568.54,2387.05,0.833708,46.6801,2609.85,56.9834
input/fake_instances/fake_69_8.csv,69,1153.95,800.441,0.03,1.23425,911.205,1.07363
input/fake_instances/fake_197_2.csv,197,2151.77,1521.3,0.192958,8.94142,1640.38,8.83458
input/fake_instances/fake_184_8.csv,184,2114.88,1425.17,0.162958,7.97367,1547.5,7.62242
input/fake_instances/fake_389_0.csv,389,3250.88,2271.26,0.623541,35.9458,2462.95,33.7751
input/fake_instances/fake_444_5.csv,444,2834.98,1971.83,0.805167,43.5835,2176.96,41.9055
input/fake_instances/fake_401_5.csv,401,3255.69,2104.8,0.679208,43.7419,2300.93,42.7842
